"timestamp","purchase","item"
2020-01-17 17:23:06,"y","cue cards - love actually"
2020-01-25 17:09:39,"n",NA
2020-01-25 05:22:01,"n",NA
2020-01-18 04:33:40,"y","t-rex - jurassic park"
2020-01-24 17:24:52,"n",NA
2020-01-15 05:05:12,"n",NA
2020-01-01 03:51:44,"n",NA
2020-01-15 03:19:54,"n",NA
2020-01-01 18:17:08,"n",NA
2020-01-29 17:09:57,"n",NA
2019-12-31 21:46:49,"n",NA
2020-01-06 13:10:54,"n",NA
2020-01-14 00:29:43,"n",NA
2020-01-05 04:15:29,"n",NA
2020-01-22 05:20:26,"n",NA
2020-01-05 19:09:34,"n",NA
2020-01-16 20:00:50,"n",NA
2020-01-23 17:48:12,"n",NA
2020-01-17 16:32:55,"y","why so serious - the dark knight"
2020-01-05 09:00:24,"n",NA
2020-01-20 18:03:28,"n",NA
2020-01-17 22:28:32,"n",NA
2020-01-23 07:53:16,"n",NA
2020-01-09 11:59:31,"y","you're gonna need a bigger boat - jaws"
2020-01-29 06:06:19,"y","luke, i am your father - starwars episode v"
2020-01-01 04:38:19,"n",NA
2020-01-11 12:09:17,"n",NA
2020-01-29 23:15:06,"n",NA
2020-01-17 19:36:47,"n",NA
2020-01-23 23:39:46,"n",NA
2020-01-22 00:14:53,"n",NA
2020-01-02 13:47:09,"n",NA
2020-01-16 11:53:33,"n",NA
2020-01-12 23:44:26,"n",NA
2020-01-05 03:55:27,"n",NA
2020-01-09 20:18:41,"n",NA
2020-01-08 09:30:54,"n",NA
2020-01-23 10:52:49,"n",NA
2020-01-08 02:42:55,"n",NA
2020-01-08 20:58:36,"n",NA
2020-01-11 08:56:29,"n",NA
2020-01-24 18:13:48,"n",NA
2020-01-15 23:18:37,"n",NA
2020-01-10 11:01:03,"n",NA
2020-01-23 19:21:06,"n",NA
2020-01-11 02:50:16,"n",NA
2020-01-02 15:38:41,"y","lava thumbs up - terminator 2"
2020-01-17 21:02:49,"n",NA
2020-01-20 02:18:41,"y","hamilton and burr duel - hamilton"
2020-01-13 02:01:49,"n",NA
2020-01-20 02:44:13,"n",NA
2020-01-19 08:50:46,"n",NA
2020-01-03 17:54:11,"y","box of chocolates - forest gump"
2020-01-08 03:30:23,"n",NA
2020-01-25 12:18:28,"n",NA
2020-01-27 05:30:36,"n",NA
2020-01-27 21:28:13,"y","slow motion bullets - the matrix"
2020-01-06 21:54:00,"n",NA
2020-01-28 11:34:44,"n",NA
2020-01-30 14:32:16,"y","chest waxing - forty year old virgin"
2020-01-12 10:52:53,"n",NA
2020-01-17 21:09:24,"n",NA
2020-01-13 04:05:46,"n",NA
2020-01-27 22:54:01,"n",NA
2020-01-25 05:52:06,"n",NA
2020-01-07 07:32:28,"n",NA
2020-01-05 06:16:18,"n",NA
2020-01-27 19:22:26,"y","offer he can't refuse - godfather"
2020-01-16 18:44:54,"n",NA
2020-01-26 20:57:41,"n",NA
2020-01-16 22:00:32,"n",NA
2020-01-02 04:17:24,"n",NA
2020-01-03 03:27:20,"n",NA
2020-01-29 21:44:33,"n",NA
2020-01-30 17:55:43,"n",NA
2020-01-20 15:05:23,"y","breaking door with axe - the shining"
2020-01-30 13:57:05,"n",NA
2020-01-19 20:25:40,"n",NA
2020-01-30 05:35:30,"n",NA
2020-01-28 16:30:57,"n",NA
2020-01-10 16:27:46,"y","hello clarice - silence of the lambs"
2020-01-17 10:31:59,"n",NA
2020-01-05 01:11:22,"n",NA
2020-01-16 11:08:46,"y","monkeys discovering the monolith - a space odyssey"
2020-01-27 08:50:09,"n",NA
2020-01-15 16:28:50,"n",NA
2020-01-13 01:58:41,"y","the cane - citizen kane"
2020-01-05 23:07:53,"n",NA
2020-01-04 20:52:43,"n",NA
2020-01-17 12:30:12,"n",NA
2020-01-22 20:40:59,"y","food poisoning - bridesmaids"
2020-01-29 04:44:23,"n",NA
2020-01-03 13:34:55,"y","dancing in space - wall-e"
2020-01-30 19:03:15,"n",NA
2020-01-09 19:55:17,"n",NA
2020-01-20 18:17:00,"n",NA
2020-01-14 19:41:46,"n",NA
2020-01-08 10:06:04,"n",NA
2020-01-22 23:46:37,"n",NA
2020-01-25 16:30:29,"y","piano - big"
2020-01-26 16:23:40,"n",NA
2020-01-15 11:55:49,"n",NA
2020-01-03 19:05:58,"n",NA
2020-01-22 12:15:19,"n",NA
2020-01-11 18:14:03,"n",NA
2020-01-20 18:29:07,"n",NA
2020-01-28 13:29:15,"n",NA
2020-01-10 21:48:29,"n",NA
2020-01-27 00:09:08,"n",NA
2020-01-07 06:37:45,"n",NA
2020-01-25 09:01:31,"n",NA
2020-01-04 08:05:20,"y","singing johnny b goode - back to the future"
2020-01-26 10:21:46,"n",NA
2020-01-25 08:58:43,"n",NA
2020-01-30 19:04:56,"n",NA
2020-01-20 21:27:54,"n",NA
2020-01-07 05:17:52,"n",NA
2020-01-16 03:13:26,"n",NA
2020-01-20 12:11:33,"n",NA
2020-01-09 14:06:52,"n",NA
2020-01-04 16:44:46,"n",NA
2020-01-31 15:30:36,"n",NA
2020-01-19 02:20:25,"n",NA
2020-01-03 06:21:19,"n",NA
2020-01-10 01:07:36,"n",NA
2020-01-20 00:22:37,"n",NA
2020-01-23 14:35:44,"n",NA
2020-01-11 12:37:12,"n",NA
2020-01-10 06:23:30,"n",NA
2020-01-13 14:53:26,"n",NA
2020-01-06 22:57:58,"y","alien bursting from chest - alien"
2020-01-05 00:03:22,"n",NA
2020-01-01 14:26:41,"n",NA
2020-01-17 23:55:57,"n",NA
2020-01-08 19:51:18,"n",NA
2020-01-08 12:00:30,"n",NA
2020-01-17 00:09:31,"n",NA
2020-01-10 07:44:11,"n",NA
2020-01-19 18:11:42,"n",NA
2020-01-10 01:20:21,"n",NA
2020-01-02 13:16:35,"n",NA
2020-01-26 10:40:05,"n",NA
2020-01-02 00:20:30,"n",NA
2020-01-29 03:15:27,"n",NA
2020-01-02 11:08:50,"n",NA
2020-01-07 21:31:38,"n",NA
2020-01-29 11:26:55,"n",NA
2020-01-31 04:55:04,"n",NA
2020-01-27 19:24:49,"n",NA
2020-01-24 13:24:52,"n",NA
2020-01-09 06:20:02,"n",NA
2020-01-17 01:05:08,"n",NA
